cellnumber,    x-coordinate,    y-coordinate,     temperature
         1, 4.749999940E-01, 2.500000000E-01, 1.581466598E+02
         2, 4.749999940E-01, 1.500000060E-01, 1.486493373E+02
         3, 2.250000089E-01, 1.500000060E-01, 1.496828367E+02
         4, 2.250000238E-01, 5.000000075E-02, 1.410940677E+02
         5, 4.749999940E-01, 5.000000075E-02, 1.389865925E+02
         6, 5.000000075E-02, 1.500000060E-01, 1.506006294E+02
         7, 5.000000075E-02, 5.000000075E-02, 1.487432389E+02
         8, 5.000000075E-02, 2.500000000E-01, 1.541836796E+02
         9, 2.250000089E-01, 2.500000000E-01, 1.582270987E+02
